epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,137856,0.89266,1.08382,1.3711,0.8899,0.8313,0.91511,0.74419,0.66362,0.59958,1.17223,0.001535,0.001535,0.001535
44,141105,0.88896,1.07693,1.36872,0.80801,0.93654,0.91968,0.75247,0.65061,0.5922,1.16587,0.0014525,0.0014525,0.0014525
45,144069,0.88057,1.06552,1.3609,0.85373,0.93058,0.95398,0.77816,0.65018,0.58086,1.16181,0.00137,0.00137,0.00137
46,147721,0.87078,1.04706,1.35251,0.80292,0.94856,0.95766,0.78902,0.64454,0.57372,1.15388,0.0012875,0.0012875,0.0012875
47,151515,0.8667,1.04207,1.35052,0.82031,0.94104,0.95543,0.7887,0.6318,0.5724,1.14406,0.001205,0.001205,0.001205
48,154798,0.86461,1.02204,1.34649,0.91118,0.84572,0.95737,0.79304,0.63013,0.56257,1.14146,0.0011225,0.0011225,0.0011225
49,157975,0.85476,1.01838,1.34228,0.81107,0.95211,0.96207,0.79587,0.62873,0.5505,1.13714,0.00104,0.00104,0.00104
50,162211,0.84613,1.00439,1.33332,0.91259,0.9287,0.96284,0.80064,0.62324,0.5417,1.1368,0.0009575,0.0009575,0.0009575
51,165842,0.77214,0.67062,1.32575,0.92995,0.90787,0.96274,0.80535,0.61814,0.53116,1.12453,0.000875,0.000875,0.000875
52,168954,0.74845,0.63873,1.30705,0.92992,0.92197,0.96515,0.81856,0.60097,0.50898,1.11225,0.0007925,0.0007925,0.0007925
53,171627,0.73573,0.6243,1.29524,0.91793,0.93046,0.9669,0.81988,0.59615,0.4996,1.10545,0.00071,0.00071,0.00071
54,174819,0.71856,0.60837,1.28389,0.89588,0.94712,0.96842,0.82295,0.58647,0.49337,1.09523,0.0006275,0.0006275,0.0006275
55,178402,0.70963,0.59178,1.27295,0.89146,0.94699,0.97033,0.8243,0.58191,0.48779,1.08872,0.000545,0.000545,0.000545
56,181167,0.70297,0.58157,1.26692,0.89171,0.95281,0.97071,0.82608,0.57611,0.48193,1.08491,0.0004625,0.0004625,0.0004625
57,183997,0.69298,0.57473,1.26059,0.88611,0.95474,0.97286,0.8274,0.57299,0.47664,1.08188,0.00038,0.00038,0.00038
58,186837,0.67802,0.56006,1.24142,0.89664,0.95896,0.97341,0.82891,0.57041,0.47081,1.07856,0.0002975,0.0002975,0.0002975
59,189906,0.67082,0.55056,1.24112,0.87766,0.96097,0.97392,0.83178,0.57006,0.46708,1.07638,0.000215,0.000215,0.000215
60,193057,0.65868,0.5393,1.23431,0.86934,0.9631,0.97392,0.83209,0.56844,0.46413,1.0742,0.0001325,0.0001325,0.0001325
